GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
J-B6-EmpMan-V3,models,Department,30,0,0,0,13,0,8,0,8,0
J-B6-EmpMan-V3,models,Admin,18,0,0,0,4,0,2,0,2,0
J-B6-EmpMan-V3,models,User,67,31,0,0,25,14,12,9,12,9
J-B6-EmpMan-V3,models,ModHistory,18,18,0,0,9,7,5,3,5,3
J-B6-EmpMan-V3,models,Employee,35,3,0,0,10,2,5,1,5,1
J-B6-EmpMan-V3,models,BaseUser,67,3,0,0,28,2,15,1,15,1
J-B6-EmpMan-V3,models,Leave,25,35,0,0,10,16,4,10,4,10
J-B6-EmpMan-V3,models,Recruiter,18,0,0,0,4,0,2,0,2,0
J-B6-EmpMan-V3,models,JobOffer,93,0,0,0,38,0,20,0,20,0
J-B6-EmpMan-V3,models,Application,50,0,0,0,21,0,12,0,12,0
J-B6-EmpMan-V3,models,SalaryHistory,3,6,0,0,2,2,1,1,1,1
J-B6-EmpMan-V3,models.enums,ApplicationStatus,27,0,0,0,5,0,1,0,1,0
J-B6-EmpMan-V3,models.enums,JobOfferStatus,21,0,0,0,4,0,1,0,1,0
J-B6-EmpMan-V3,listeners,JobOfferDeadlineListener,21,0,0,0,8,0,4,0,4,0
J-B6-EmpMan-V3,listeners,JobOfferDeadlineListener.SchedulerHolder,17,0,4,0,6,0,5,0,3,0
J-B6-EmpMan-V3,utils,JSONUtil,31,0,0,0,8,0,3,0,3,0
J-B6-EmpMan-V3,utils,JPAUtil.EntityManagerFactoryHolder,3,0,0,0,1,0,1,0,1,0
J-B6-EmpMan-V3,utils,ReflectionUtil,93,0,14,0,20,0,10,0,3,0
J-B6-EmpMan-V3,utils,JPAUtil,36,0,4,0,14,0,7,0,5,0
J-B6-EmpMan-V3,utils,JSONUtil.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
J-B6-EmpMan-V3,utils,ObjectMapperFactory,15,0,0,0,4,0,2,0,2,0
J-B6-EmpMan-V3,controllers,EmployeeController,192,0,15,0,50,0,17,0,9,0
J-B6-EmpMan-V3,controllers,JobOfferController,11,0,0,0,3,0,2,0,2,0
J-B6-EmpMan-V3,controllers,LoginController,120,0,11,0,31,0,9,0,3,0
J-B6-EmpMan-V3,controllers,AdminController,78,0,7,0,20,0,7,0,3,0
J-B6-EmpMan-V3,controllers,LeaveController,94,0,4,0,25,0,8,0,5,0
J-B6-EmpMan-V3,controllers,UserController,27,0,0,0,7,0,2,0,2,0
J-B6-EmpMan-V3,filters,RoleFilter,102,0,10,0,24,0,9,0,4,0
J-B6-EmpMan-V3,services.implementations,AdminServiceImpl,3,0,0,0,1,0,1,0,1,0
J-B6-EmpMan-V3,services.implementations,EmployeeServiceImpl,43,0,4,0,8,0,7,0,5,0
J-B6-EmpMan-V3,services.implementations,ApplicationServiceImpl,30,0,2,0,7,0,4,0,3,0
J-B6-EmpMan-V3,services.implementations,DepartmentServiceImpl,3,0,0,0,1,0,1,0,1,0
J-B6-EmpMan-V3,services.implementations,LeaveServiceImpl,2,78,1,9,1,18,1,9,0,5
J-B6-EmpMan-V3,services.implementations,GenericServiceImpl,32,10,0,0,5,2,4,2,4,2
J-B6-EmpMan-V3,services.implementations,UserServiceImpl,25,219,10,10,4,42,9,12,0,11
J-B6-EmpMan-V3,services.implementations,JobOfferServiceImpl,38,0,4,0,10,0,6,0,4,0
J-B6-EmpMan-V3,services.implementations,RecruiterServiceImpl,3,0,0,0,1,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,AdminDAOImpl,4,0,0,0,2,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,JobOfferDAOImpl,4,0,0,0,2,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,SalaryHistoryImpl,28,0,0,0,7,0,3,0,3,0
J-B6-EmpMan-V3,daos.implementations,ApplicationDAOImpl,34,0,0,0,8,0,3,0,3,0
J-B6-EmpMan-V3,daos.implementations,BaseUserDAOImpl,4,0,0,0,2,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,RecruiterDAOImpl,4,0,0,0,2,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,UserDAOImpl,58,0,0,0,13,0,5,0,5,0
J-B6-EmpMan-V3,daos.implementations,ModHistoryImpl,28,0,0,0,7,0,3,0,3,0
J-B6-EmpMan-V3,daos.implementations,LeaveDAOImpl,4,0,0,0,2,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,DepartmentDAOImpl,4,0,0,0,2,0,1,0,1,0
J-B6-EmpMan-V3,daos.implementations,GenericDAOImpl,132,0,4,0,32,0,16,0,14,0
J-B6-EmpMan-V3,daos.implementations,EmployeeDAOImpl,29,0,0,0,7,0,3,0,3,0
J-B6-EmpMan-V3,events,LeaveEvent,8,15,0,0,4,6,2,3,2,3
J-B6-EmpMan-V3,exceptions,DAOException,7,0,0,0,2,0,1,0,1,0
